"Author","Confidence-Score-score","Detection Method","Detection Method ID","interaction","Interaction Type","Module_Edge_Color","name","Primary Interaction Type","Publication DB","Publication ID","selected","shared interaction","shared name","Source Database"
"Lundmark R (2003)",,"affinity chromatography technology","MI:0004","255273","physical association","-1","51429 (255273) 1785","physical association","pubmed","12952949","false","255273","51429 (255273) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603513","direct interaction","-1","51776 (603513) 23564","direct interaction","pubmed","21900206","false","603513","51776 (603513) 23564","psi-mi"
"Lundmark R (2003)",,"affinity chromatography technology","MI:0004","255274","physical association","-1","1785 (255274) 51429","physical association","pubmed","12952949","false","255274","1785 (255274) 51429","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871705","physical association","-1","4000 (871705) 10389","physical association","pubmed","22412018","false","871705","4000 (871705) 10389","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603514","direct interaction","-1","51776 (603514) 285971","direct interaction","pubmed","21900206","false","603514","51776 (603514) 285971","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428267","physical association","-1","29993 (428267) 1785","physical association","pubmed","19041431","false","428267","29993 (428267) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603515","direct interaction","-1","51776 (603515) 155061","direct interaction","pubmed","21900206","false","603515","51776 (603515) 155061","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871706","physical association","-1","4000 (871706) 50809","physical association","pubmed","22412018","false","871706","4000 (871706) 50809","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428278","physical association","-1","11252 (428278) 1785","physical association","pubmed","19041431","false","428278","11252 (428278) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603516","direct interaction","-1","51776 (603516) 26112","direct interaction","pubmed","21900206","false","603516","51776 (603516) 26112","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871707","physical association","-1","4000 (871707) 10009","physical association","pubmed","22412018","false","871707","4000 (871707) 10009","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428290","physical association","-1","29763 (428290) 1785","physical association","pubmed","19041431","false","428290","29763 (428290) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603517","direct interaction","-1","51776 (603517) 25897","direct interaction","pubmed","21900206","false","603517","51776 (603517) 25897","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871708","physical association","-1","4000 (871708) 9878","physical association","pubmed","22412018","false","871708","4000 (871708) 9878","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428303","physical association","-1","9322 (428303) 1785","physical association","pubmed","19041431","false","428303","9322 (428303) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603518","direct interaction","-1","51776 (603518) 1400","direct interaction","pubmed","21900206","false","603518","51776 (603518) 1400","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871709","physical association","-1","4000 (871709) 10155","physical association","pubmed","22412018","false","871709","4000 (871709) 10155","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871710","physical association","-1","4000 (871710) 2273","physical association","pubmed","22412018","false","871710","4000 (871710) 2273","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428309","physical association","-1","9051 (428309) 1785","physical association","pubmed","19041431","false","428309","9051 (428309) 1785","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","603519","direct interaction","-1","51776 (603519) 6453","direct interaction","pubmed","21900206","false","603519","51776 (603519) 6453","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871711","physical association","-1","4000 (871711) 7936","physical association","pubmed","22412018","false","871711","4000 (871711) 7936","psi-mi"
"Linkermann A (2009)",,"affinity chromatography technology","MI:0004","428315","physical association","-1","89848 (428315) 1785","physical association","pubmed","19041431","false","428315","89848 (428315) 1785","psi-mi"
"Persaud A (2009)",,"enzymatic study","MI:0415","608423","direct interaction","-1","23327 (608423) 51776","direct interaction","pubmed","19953087","false","608423","23327 (608423) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871712","physical association","-1","4000 (871712) 55609","physical association","pubmed","22412018","false","871712","4000 (871712) 55609","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600965","direct interaction","-1","1785 (600965) 3146","direct interaction","pubmed","21900206","false","600965","1785 (600965) 3146","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600966","direct interaction","-1","1785 (600966) 1759","direct interaction","pubmed","21900206","false","600966","1785 (600966) 1759","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871713","physical association","-1","4000 (871713) 9555","physical association","pubmed","22412018","false","871713","4000 (871713) 9555","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600967","direct interaction","-1","1785 (600967) 6187","direct interaction","pubmed","21900206","false","600967","1785 (600967) 6187","psi-mi"
"Yang JJ (2003)",,"affinity chromatography technology","MI:0004","281422","physical association","-1","7581 (281422) 51776","physical association","pubmed","12535642","false","281422","7581 (281422) 51776","psi-mi"
"Yang JJ (2003)",,"two hybrid","MI:0018","281423","direct interaction","-1","51776 (281423) 7581","direct interaction","pubmed","12535642","false","281423","51776 (281423) 7581","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871714","physical association","-1","4000 (871714) 2957","physical association","pubmed","22412018","false","871714","4000 (871714) 2957","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600968","direct interaction","-1","1785 (600968) 4287","direct interaction","pubmed","21900206","false","600968","1785 (600968) 4287","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871715","physical association","-1","4000 (871715) 9031","physical association","pubmed","22412018","false","871715","4000 (871715) 9031","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600969","direct interaction","-1","1785 (600969) 7704","direct interaction","pubmed","21900206","false","600969","1785 (600969) 7704","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871716","physical association","-1","4000 (871716) 4999","physical association","pubmed","22412018","false","871716","4000 (871716) 4999","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600970","direct interaction","-1","1785 (600970) 11253","direct interaction","pubmed","21900206","false","600970","1785 (600970) 11253","psi-mi"
"Rual JF (2005)",,"two hybrid","MI:0018","121082","direct interaction","-1","51776 (121082) 163081","direct interaction","pubmed","16189514","false","121082","51776 (121082) 163081","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871717","physical association","-1","4000 (871717) 2963","physical association","pubmed","22412018","false","871717","4000 (871717) 2963","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600971","direct interaction","-1","1785 (600971) 10574","direct interaction","pubmed","21900206","false","600971","1785 (600971) 10574","psi-mi"
"Wang J (2011)",,"affinity chromatography technology","MI:0004","891682","physical association","-1","7534 (891682) 51776","physical association","pubmed","21988832","false","891682","7534 (891682) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871718","physical association","-1","4000 (871718) 57680","physical association","pubmed","22412018","false","871718","4000 (871718) 57680","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600972","direct interaction","-1","1785 (600972) 10069","direct interaction","pubmed","21900206","false","600972","1785 (600972) 10069","psi-mi"
"Wang J (2011)",,"affinity chromatography technology","MI:0004","891683","physical association","-1","9252 (891683) 51776","physical association","pubmed","21988832","false","891683","9252 (891683) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871719","physical association","-1","4000 (871719) 6829","physical association","pubmed","22412018","false","871719","4000 (871719) 6829","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600973","direct interaction","-1","1785 (600973) 60492","direct interaction","pubmed","21900206","false","600973","1785 (600973) 60492","psi-mi"
"Couzens AL (2013)","0.84","affinity chromatography technology","MI:0004","914156","physical association","-1","7529 (914156) 51776","physical association","pubmed","24255178","false","914156","7529 (914156) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871720","physical association","-1","4000 (871720) 8607","physical association","pubmed","22412018","false","871720","4000 (871720) 8607","psi-mi"
"Wang J (2011)",,"two hybrid","MI:0018","893223","direct interaction","-1","7534 (893223) 51776","direct interaction","pubmed","21988832","false","893223","7534 (893223) 51776","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600974","direct interaction","-1","1785 (600974) 1780","direct interaction","pubmed","21900206","false","600974","1785 (600974) 1780","psi-mi"
"Wang J (2011)",,"two hybrid","MI:0018","893224","direct interaction","-1","9252 (893224) 51776","direct interaction","pubmed","21988832","false","893224","9252 (893224) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871721","physical association","-1","4000 (871721) 8467","physical association","pubmed","22412018","false","871721","4000 (871721) 8467","psi-mi"
"Lipp JJ (2015)",,"enzymatic study","MI:0415","1429383","direct interaction","-1","6733 (1429383) 51776","direct interaction","pubmed","26167880","false","1429383","6733 (1429383) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871722","physical association","-1","4000 (871722) 5371","physical association","pubmed","22412018","false","871722","4000 (871722) 5371","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600975","direct interaction","-1","1785 (600975) 7297","direct interaction","pubmed","21900206","false","600975","1785 (600975) 7297","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871723","physical association","-1","4000 (871723) 7153","physical association","pubmed","22412018","false","871723","4000 (871723) 7153","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453819","physical association","-1","998 (1453819) 51776","physical association","pubmed","26496610","false","1453819","998 (1453819) 51776","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600976","direct interaction","-1","1785 (600976) 26230","direct interaction","pubmed","21900206","false","600976","1785 (600976) 26230","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453820","physical association","-1","4609 (1453820) 51776","physical association","pubmed","26496610","false","1453820","4609 (1453820) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871724","physical association","-1","4000 (871724) 92140","physical association","pubmed","22412018","false","871724","4000 (871724) 92140","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","600977","direct interaction","-1","1785 (600977) 6453","direct interaction","pubmed","21900206","false","600977","1785 (600977) 6453","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1453821","physical association","-1","5868 (1453821) 51776","physical association","pubmed","26496610","false","1453821","5868 (1453821) 51776","psi-mi"
"Roux KJ (2012)",,"bioid","MI:1313","871725","physical association","-1","4000 (871725) 9967","physical association","pubmed","22412018","false","871725","4000 (871725) 9967","psi-mi"
